domain,backbone,sanity_method,repeat,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
electronics_small,gru4rec,random_score_same_distribution_D,4,0.5255503799342754,0.3758,0.132,0.466,0.3183776035285757,0.4550213568868871,0.12210491935491383,0.248643260604718
electronics_small,gru4rec,shuffled_calibrated_relevance_B,5,0.5180118173091539,0.36610000000000004,0.124,0.424,0.29233016550000407,0.45033245175862974,0.10600930125723146,0.2164137778270018
electronics_small,gru4rec,shuffled_calibrated_relevance_D,5,0.525022830536662,0.3752,0.138,0.444,0.30697342993571786,0.46161795123143406,0.12097854632415164,0.24664968435042614
electronics_small,gru4rec,random_score_same_distribution_B,5,0.5104216773862512,0.3554333333333333,0.102,0.456,0.29733016550000413,0.4484416268294554,0.08980356024502563,0.18097242219514875
electronics_small,gru4rec,random_score_same_distribution_D,5,0.510894714801212,0.3559,0.1,0.45,0.2943776035285757,0.44748983549598403,0.09081354450273421,0.1825229815040423
electronics_small,bert4rec,shuffled_calibrated_relevance_B,1,0.5162865177160306,0.36360000000000003,0.116,0.416,0.2866869010642903,0.457156124656099,0.0949402423818131,0.19304385868970822
electronics_small,bert4rec,shuffled_calibrated_relevance_D,1,0.5211620545608314,0.3694333333333334,0.118,0.448,0.30342504155714745,0.46701856212041204,0.1052802789921123,0.2121841846221156
electronics_small,bert4rec,random_score_same_distribution_B,1,0.5129748032304515,0.3595,0.118,0.416,0.2834971489500036,0.44529543767992724,0.08791675961185669,0.1795909438915018
electronics_small,bert4rec,random_score_same_distribution_D,1,0.5242076272897973,0.3733666666666667,0.12,0.46,0.311734339092862,0.4608027479845694,0.11173932843000507,0.2250902329651101
electronics_small,bert4rec,shuffled_calibrated_relevance_B,2,0.5089723378887724,0.3540666666666667,0.108,0.424,0.2832827274714324,0.4505543592030568,0.07942833269974155,0.16176309745160256
electronics_small,bert4rec,shuffled_calibrated_relevance_D,2,0.5174916878390814,0.36460000000000004,0.114,0.456,0.30306830599286116,0.4597861235275817,0.0974961667016698,0.19632505742097806
electronics_small,bert4rec,random_score_same_distribution_B,2,0.5220689603832289,0.37170000000000003,0.14,0.406,0.2879259919071462,0.4636509816975133,0.10720364450122205,0.2196215684129938
electronics_small,bert4rec,random_score_same_distribution_D,2,0.5265328934141712,0.3766333333333333,0.13,0.464,0.3161157440214329,0.4674025003542396,0.1166707519060381,0.23580881548725813
electronics_small,bert4rec,shuffled_calibrated_relevance_B,3,0.5165623524930766,0.36406666666666665,0.12,0.412,0.2848538845142899,0.4517326444394165,0.09552523266777317,0.19457508476430063
electronics_small,bert4rec,shuffled_calibrated_relevance_D,3,0.5256051066552855,0.3754,0.128,0.46,0.3133776035285758,0.4664747135953537,0.11470310211509059,0.23176200371869207
electronics_small,bert4rec,random_score_same_distribution_B,3,0.519478648794079,0.3688333333333333,0.142,0.396,0.2831404133857175,0.4517992832435548,0.10171011270841972,0.2102154653833534
electronics_small,bert4rec,random_score_same_distribution_D,3,0.530038266427414,0.3821666666666667,0.152,0.44,0.31144971092143203,0.47019545899326626,0.12410494560479715,0.25396478180028464
electronics_small,bert4rec,shuffled_calibrated_relevance_B,4,0.509914934703755,0.355,0.098,0.428,0.28604363662857657,0.4422355691532309,0.08142739165179634,0.16482554960078757
electronics_small,bert4rec,shuffled_calibrated_relevance_D,4,0.5229044230626673,0.37160000000000004,0.118,0.472,0.3156869010642903,0.45949954375743934,0.10897549342102734,0.21929344853986685
electronics_small,bert4rec,random_score_same_distribution_B,4,0.5118270925922372,0.35803333333333337,0.118,0.42,0.284449710921432,0.4519842851580895,0.08548269534469383,0.17477851908563954
electronics_small,bert4rec,random_score_same_distribution_D,4,0.5151217575950195,0.3622,0.118,0.444,0.29854458697857533,0.44886722079292735,0.09247001957828445,0.18845018046593043
electronics_small,bert4rec,shuffled_calibrated_relevance_B,5,0.5221753731275298,0.37206666666666666,0.14,0.408,0.2904971489500036,0.45734566507386976,0.10742932460720814,0.22082467461445926
electronics_small,bert4rec,shuffled_calibrated_relevance_D,5,0.5203814481259175,0.36926666666666663,0.128,0.432,0.298592025007147,0.4505648394527451,0.10362476917397756,0.21163731816690368
electronics_small,bert4rec,random_score_same_distribution_B,5,0.5183537779796586,0.36676666666666663,0.13,0.428,0.29497342993571785,0.45209924117756645,0.09932448713051706,0.2034343213387291
electronics_small,bert4rec,random_score_same_distribution_D,5,0.5296249126803779,0.38093333333333335,0.138,0.472,0.3238538845142899,0.4697821052462303,0.12322830514172373,0.24991797003171845
