backbone,sanity_method,repeat,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
bert4rec,shuffled_calibrated_relevance_D,1,0.5049888802759713,0.34873333333333334,0.098,0.434,0.28380644648571823,0.4330350284801508,0.03860656506963188,0.07811211871393238
bert4rec,random_score_same_distribution_B,1,0.5013840759769855,0.3426,0.068,0.452,0.28435293416429114,0.4458157547881342,0.03119259308539366,0.05915086562242375
bert4rec,random_score_same_distribution_D,1,0.5100095980309937,0.3542666666666667,0.088,0.456,0.2953054961357195,0.4494543762226299,0.04893263486126404,0.09521846661170649
bert4rec,shuffled_calibrated_relevance_B,2,0.4999468410268869,0.3416,0.08,0.434,0.27768690106429034,0.43440471859901086,0.028236643532793225,0.05605935696619951
bert4rec,shuffled_calibrated_relevance_D,2,0.5054819278440349,0.3489,0.09,0.446,0.2884250415571474,0.43851497666772676,0.03962061203399788,0.07862737015663636
bert4rec,random_score_same_distribution_B,2,0.5038157583215018,0.34713333333333335,0.096,0.42,0.2758064464857183,0.43399914964832953,0.036193814589119334,0.07316570486397363
bert4rec,random_score_same_distribution_D,2,0.5035446899541717,0.34676666666666667,0.096,0.422,0.2762827274714324,0.4330156669067832,0.03563631046004238,0.07203215169002469
bert4rec,shuffled_calibrated_relevance_B,3,0.5010164100084566,0.34253333333333336,0.076,0.45,0.2842106200785762,0.444023260071173,0.030436417447510102,0.05894476504534216
bert4rec,shuffled_calibrated_relevance_D,3,0.5065198208740169,0.3497,0.086,0.46,0.29342504155714744,0.45237632843359754,0.04175523827406529,0.08110057708161582
bert4rec,random_score_same_distribution_B,3,0.5070362915456093,0.35106666666666664,0.098,0.436,0.28506830599286115,0.44505624098881347,0.04281745934691064,0.08532563891178882
bert4rec,random_score_same_distribution_D,3,0.5108313996905404,0.35596666666666665,0.102,0.442,0.2913776035285758,0.45170100663060864,0.05062282771922139,0.10047403132728763
bert4rec,shuffled_calibrated_relevance_B,4,0.49857730713959986,0.3398,0.082,0.416,0.2673301655000041,0.4422965715765323,0.025419934211106106,0.050494641384995806
bert4rec,shuffled_calibrated_relevance_D,4,0.5021203354782623,0.3444,0.088,0.444,0.2832827274714324,0.4458395999151948,0.03270685207502338,0.06471558120362728
bert4rec,random_score_same_distribution_B,4,0.5073046173736425,0.3512,0.092,0.444,0.28894876057143326,0.4474618099394948,0.04336932291749223,0.08573784006595218
bert4rec,random_score_same_distribution_D,4,0.5139675682186798,0.36003333333333337,0.106,0.442,0.29416318205000447,0.4548371751587482,0.05707296028592339,0.11304616652926636
bert4rec,shuffled_calibrated_relevance_B,5,0.5051357518172741,0.34873333333333334,0.09,0.444,0.2889961986000049,0.4317570712730215,0.038908634586361825,0.07811211871393238
bert4rec,shuffled_calibrated_relevance_D,5,0.5099486708028653,0.3553,0.106,0.434,0.2888538845142899,0.43799481900704484,0.04880732632161658,0.09841302555647152
bert4rec,random_score_same_distribution_B,5,0.5187828537708207,0.3660666666666667,0.106,0.464,0.30856735564286236,0.4603648750851051,0.06697651931955066,0.1316982687551526
bert4rec,random_score_same_distribution_D,5,0.5231030210584056,0.37173333333333336,0.114,0.472,0.31604363662857654,0.46397262799847383,0.07586177260400448,0.1492168178070899
