method,backbone_name,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.5,0.75,0.25,minmax,0.7080352853661654,0.6137,0.425,0.736,0.6040673556428624,0.6784700888361997,1.0,2.481,2.0,6.0,6.0,6.0,True,0.4938333333333333,0.8555,0.6778666666666665,0.1935588335252477,0.0008011608075076167,0.001128315275757682
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.0,0.9,0.09999999999999998,minmax,0.7261488855577841,0.6373166666666666,0.4535,0.7635,0.6329183990410769,0.7010362788666684,1.0,2.361,2.0,6.0,6.0,6.0,True,0.38641666666666663,0.699,0.7395333333333333,0.1935588335252477,0.02640456288767369,0.039654164570900416
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.05,0.9,0.09999999999999998,minmax,0.7245097702481841,0.6352083333333333,0.451,0.763,0.6313529341642912,0.6965475060602043,1.0,2.376,2.0,6.0,6.0,6.0,True,0.41341666666666665,0.7465,0.7163999999999998,0.1935588335252477,0.02408768894304152,0.0362148421038322
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.1,0.9,0.09999999999999998,minmax,0.7195592716825928,0.62865,0.4405,0.753,0.6221503721928627,0.6907064895268431,1.0,2.401,2.0,6.0,6.0,6.0,True,0.40575,0.746,0.7288,0.1935588335252477,0.01709020617146269,0.025516238224059126
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.2,0.9,0.09999999999999998,minmax,0.7156397568735288,0.6237083333333333,0.4375,0.743,0.6145374692875054,0.6850059387822389,1.0,2.441,2.0,6.0,6.0,6.0,True,0.416,0.763,0.7336666666666666,0.1935588335252477,0.011550009161810992,0.01745490137436964
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,tfidf_cosine,0.5,0.9,0.09999999999999998,minmax,0.7040207479453672,0.6083166666666666,0.4145,0.73,0.597584907316077,0.6746336550089553,1.0,2.497,2.0,6.0,6.0,6.0,True,0.4675833333333333,0.828,0.6971333333333332,0.1935588335252477,-0.0048733497626291195,-0.007653512051222768
B_Backbone_plus_calibrated_relevance,tfidf_cosine,0.0,0.5,0.5,zscore,0.7371959020707898,0.651975,0.477,0.7685,0.6455317771214336,0.7145767456894304,1.0,2.306,2.0,6.0,6.0,6.0,True,0.5681666666666666,0.856,0.5677333333333332,0.1935588335252477,0.0420194159581081,0.06356629192099081
B_Backbone_plus_calibrated_relevance,tfidf_cosine,0.0,0.75,0.25,zscore,0.729281713066056,0.6414249999999999,0.4595,0.763,0.6354065395339339,0.7055939351233724,1.0,2.3405,2.0,6.0,6.0,6.0,True,0.4495,0.779,0.6863999999999999,0.1935588335252477,0.030832784858654667,0.04635608542570109
B_Backbone_plus_calibrated_relevance,tfidf_cosine,0.0,0.9,0.09999999999999998,zscore,0.7259670809347851,0.637075,0.453,0.7625,0.6322993287946483,0.7006763706501156,1.0,2.362,2.0,6.0,6.0,6.0,True,0.385,0.6965,0.7408666666666666,0.1935588335252477,0.026147583777312734,0.039259933932382675
C_Backbone_plus_evidence_risk,tfidf_cosine,0.0,1.0,0.0,zscore,0.7074684893399596,0.6130083333333333,0.423,0.737,0.6046147936714341,0.6768346712486698,1.0,2.4925,2.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999999,0.1935588335252477,0.0,0.0
C_Backbone_plus_evidence_risk,tfidf_cosine,0.05,1.0,0.0,zscore,0.7156053818102474,0.6235916666666667,0.436,0.744,0.6148111883017913,0.6863963924673895,1.0,2.435,2.0,6.0,6.0,6.0,True,0.36475,0.678,0.7683333333333333,0.1935588335252477,0.011501420335878289,0.01726458313508526
C_Backbone_plus_evidence_risk,tfidf_cosine,0.1,1.0,0.0,zscore,0.7142517785097612,0.62185,0.4345,0.7415,0.6124838639178626,0.6848646855733493,1.0,2.4455,2.0,6.0,6.0,6.0,True,0.37975,0.7,0.7598666666666666,0.1935588335252477,0.009588114908312136,0.014423403705768136
C_Backbone_plus_evidence_risk,tfidf_cosine,0.2,1.0,0.0,zscore,0.71118908845511,0.6177999999999999,0.4285,0.7395,0.6086802585482198,0.6809114775509281,1.0,2.4615,2.0,6.0,6.0,6.0,True,0.4050833333333333,0.7455,0.7436666666666665,0.1935588335252477,0.005259031562835396,0.007816641970609382
