method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,zscore,1.0,0.5545367285265264,0.41116666666666674,1.0,0.675,0.98,0.5426666666666666,0.019216554446559255,0.06618563093107115,0.11628959276018115
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,zscore,1.0,0.5438619193173299,0.3991666666666667,1.0,0.3783333333333333,0.81,0.8013333333333331,0.019216554446559255,0.04566160140102073,0.08371040723981912
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5327764916906119,0.38466666666666677,1.0,0.205,0.5,0.9106666666666663,0.019216554446559255,0.024348092231415524,0.04434389140271517
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.0,1.0,0.0,zscore,1.0,0.5201127387566313,0.36833333333333335,1.0,0.0,0.0,0.9999999999999999,0.019216554446559255,0.0,0.0
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.5,0.5,zscore,1.0,0.5545367285265264,0.41116666666666674,1.0,0.675,0.98,0.5426666666666666,0.019216554446559255,0.06618563093107115,0.11628959276018115
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.75,0.25,zscore,1.0,0.5438619193173299,0.3991666666666667,1.0,0.3783333333333333,0.81,0.8013333333333331,0.019216554446559255,0.04566160140102073,0.08371040723981912
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5327764916906119,0.38466666666666677,1.0,0.205,0.5,0.9106666666666663,0.019216554446559255,0.024348092231415524,0.04434389140271517
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,zscore,1.0,0.523169571336449,0.37216666666666676,1.0,0.07666666666666666,0.22,0.969333333333333,0.019216554446559255,0.0058772499730064135,0.010407239819004734
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,zscore,1.0,0.5601191391206064,0.41900000000000004,1.0,0.6716666666666665,0.96,0.5453333333333333,0.019216554446559255,0.07691870893147779,0.13755656108597292
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.75,0.25,zscore,1.0,0.5357279154346947,0.3886666666666667,1.0,0.385,0.82,0.7906666666666665,0.019216554446559255,0.030022676843856184,0.05520361990950236
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,zscore,1.0,0.5268282603604684,0.37683333333333346,1.0,0.20166666666666663,0.5,0.9093333333333333,0.019216554446559255,0.012911665305277847,0.023076923076923397
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,zscore,1.0,0.5307335564035724,0.3820000000000001,1.0,0.15166666666666667,0.41,0.9373333333333332,0.019216554446559255,0.020420222108635488,0.03710407239819033
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,zscore,1.0,0.5613512653535034,0.42066666666666674,1.0,0.6533333333333334,0.95,0.544,0.019216554446559255,0.07928766885321038,0.14208144796380107
